# packages in environment at C:\Users\mmaresch\miniconda3\envs\py313_win_intel_multi:
#
# Name                                       Version          Build               Channel
googleapis-common-protos                     1.75.3           pypi_0              pypi
gputil                                       1.4.0            pypi_0              pypi
graphviz                                     0.21             pypi_0              pypi
greenlet                                     3.5.6            pypi_0              pypi
griffe                                       2.3.0            pypi_0              pypi
griffecli                                    2.3.0            pypi_0              pypi
griffelib                                    2.3.0            pypi_0              pypi
grpc-google-iam-v1                           0.14.5           pypi_0              pypi
grpc-interceptor                             0.15.4           pypi_0              pypi
grpcio                                       1.84.0           pypi_0              pypi
grpcio-status                                1.84.0           pypi_0              pypi
h11                                          0.16.0           pypi_0              pypi
h2                                           4.4.1            pypi_0              pypi
h5py                                         3.16.0           pypi_0              pypi
hf-xet                                       1.6.0            pypi_0              pypi
hpack                                        4.2.0            pypi_0              pypi
httpcore                                     1.0.9            pypi_0              pypi
httpcore2                                    2.13.0           pypi_0              pypi
httplib2                                     0.32.0           pypi_0              pypi
httptools                                    0.8.0            pypi_0              pypi
httpx                                        0.28.1           pypi_0              pypi
httpx-sse                                    0.4.3            pypi_0              pypi
httpx2                                       2.13.0           pypi_0              pypi
huggingface-hub                              1.32.0           pypi_0              pypi
humanfriendly                                10.0             pypi_0              pypi
hydra-core                                   1.3.7            pypi_0              pypi
hyperframe                                   6.1.0            pypi_0              pypi
icalendar                                    7.3.0            pypi_0              pypi
idna                                         3.20             pypi_0              pypi
ijson                                        3.5.1            pypi_0              pypi
imageio                                      2.37.4           pypi_0              pypi
importlib-metadata                           9.0.1            pypi_0              pypi
importlib-resources                          7.1.0            pypi_0              pypi
imutils                                      0.5.4            pypi_0              pypi
inflect                                      7.5.0            pypi_0              pypi
iniconfig                                    2.3.0            pypi_0              pypi
installer                                    1.0.1            pypi_0              pypi
intel-cmplr-lib-ur                           2026.1.2         pypi_0              pypi
intel-openmp                                 2026.1.2         pypi_0              pypi
invoke                                       3.0.3            pypi_0              pypi
iopath                                       0.1.10           pypi_0              pypi
iprogress                                    0.4              pypi_0              pypi
ipykernel                                    7.3.0            pypi_0              pypi
